"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","204","[FINDING] GET /users/{id} exposes plaintext password","api-security","Sat Sep 12 10:00:36 UTC 2026","passed","Sat Sep 12 10:00:36 UTC 2026","Data Exposure — Sensitive Field Analysis","schema/data-exposure.spec.ts","",""
"","191","[AUTH-006] [CONTRACT] GET /auth/me with a malformed token returns 401","api-security","Sat Sep 12 10:00:03 UTC 2026","passed","Sat Sep 12 10:00:03 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","195","GET /users/999999 returns 404 for non-existent user","api-security","Sat Sep 12 10:00:18 UTC 2026","passed","Sat Sep 12 10:00:19 UTC 2026","Negative, Boundary and Error Scenarios > Non-Existent Resources","negative/boundary-errors.spec.ts","",""
"","206","[OWN-004] [FINDING] User updates another user's record via PUT /users/{otherId} [FINDING: no ownership/role check]","api-security","Sat Sep 12 10:00:12 UTC 2026","passed","Sat Sep 12 10:00:12 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","204","GET /users/{id} response matches User schema","api-security","Sat Sep 12 10:00:35 UTC 2026","passed","Sat Sep 12 10:00:35 UTC 2026","Schema Validation > Users Endpoints","schema/data-exposure.spec.ts","",""
"","190","GET /users/0 — ID 0 is not a valid user","api-security","Sat Sep 12 10:00:19 UTC 2026","passed","Sat Sep 12 10:00:19 UTC 2026","Negative, Boundary and Error Scenarios > Invalid ID Types and Boundary Values","negative/boundary-errors.spec.ts","",""
"","208","[OWN-001] [CONTRACT] User can read their own cart via GET /carts/user/{ownId}","api-security","Sat Sep 12 10:00:12 UTC 2026","passed","Sat Sep 12 10:00:12 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","30","[FINDING] unauthenticated request to GET /users returns user data","api-security","Sat Sep 12 10:00:30 UTC 2026","passed","Sat Sep 12 10:00:30 UTC 2026","Role-Based Authorization > User Directory Access","rbac/role-authorization.spec.ts","",""
"","461","admin can list all users","api-security","Sat Sep 12 10:00:30 UTC 2026","passed","Sat Sep 12 10:00:30 UTC 2026","Role-Based Authorization > User Directory Access","rbac/role-authorization.spec.ts","",""
"","210","[EXP-001] [FINDING] GET /users/{id} response contains plaintext password field [CRITICAL FINDING]","api-security","Sat Sep 12 10:00:12 UTC 2026","passed","Sat Sep 12 10:00:13 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","203","[FINDING] GET /users/{id} exposes EIN","api-security","Sat Sep 12 10:00:37 UTC 2026","passed","Sat Sep 12 10:00:37 UTC 2026","Data Exposure — Sensitive Field Analysis","schema/data-exposure.spec.ts","",""
"","28","[FINDING] GET /users exposes all user passwords in list response","api-security","Sat Sep 12 10:00:37 UTC 2026","passed","Sat Sep 12 10:00:37 UTC 2026","Data Exposure — Sensitive Field Analysis","schema/data-exposure.spec.ts","",""
"","203","admin can read individual user record","api-security","Sat Sep 12 10:00:30 UTC 2026","passed","Sat Sep 12 10:00:31 UTC 2026","Role-Based Authorization > User Directory Access","rbac/role-authorization.spec.ts","",""
"","420","[FINDING] user can read another user's todos","api-security","Sat Sep 12 10:00:28 UTC 2026","passed","Sat Sep 12 10:00:29 UTC 2026","Resource Ownership and Cross-User Access > Todos Ownership","ownership/resource-ownership.spec.ts","",""
"","205","[FINDING] GET /users/{id} exposes bank card number","api-security","Sat Sep 12 10:00:36 UTC 2026","passed","Sat Sep 12 10:00:36 UTC 2026","Data Exposure — Sensitive Field Analysis","schema/data-exposure.spec.ts","",""
"","1599","[AUTH-008] [FINDING] POST /auth/refresh with invalid refresh token must return 401 [DummyJSON returns 403 — minor contract deviation]","api-security","Sat Sep 12 10:00:04 UTC 2026","failed","Sat Sep 12 10:00:05 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","237","[NEG-003] [CONTRACT] POST /auth/login with SQL injection payload returns 400 without stack trace","api-security","Sat Sep 12 10:00:13 UTC 2026","passed","Sat Sep 12 10:00:14 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","630","valid token returns current user profile","api-security","Sat Sep 12 09:59:55 UTC 2026","passed","Sat Sep 12 09:59:56 UTC 2026","Authentication and Identity > GET /auth/me — Current User","auth/authentication.spec.ts","",""
"","207","[FINDING] unauthenticated GET /carts/user/{id} returns cart data","api-security","Sat Sep 12 10:00:28 UTC 2026","passed","Sat Sep 12 10:00:28 UTC 2026","Resource Ownership and Cross-User Access > Cart Ownership","ownership/resource-ownership.spec.ts","",""
"","704","[FINDING] unauthenticated PUT /products/{id} succeeds","api-security","Sat Sep 12 10:00:33 UTC 2026","passed","Sat Sep 12 10:00:33 UTC 2026","Role-Based Authorization > Write Operations — Authorization Enforcement","rbac/role-authorization.spec.ts","",""
"","713","[FINDING] regular user DELETE /users/{id} must return 403 — DummyJSON returns 200","api-security","Sat Sep 12 10:00:31 UTC 2026","failed","Sat Sep 12 10:00:32 UTC 2026","Role-Based Authorization > Write Operations — Authorization Enforcement","rbac/role-authorization.spec.ts","",""
"","203","[NEG-002] [CONTRACT] GET /users/abc returns 400 for non-numeric ID","api-security","Sat Sep 12 10:00:13 UTC 2026","passed","Sat Sep 12 10:00:13 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","202","[FINDING] unauthenticated GET /users/{id}/todos returns data","api-security","Sat Sep 12 10:00:29 UTC 2026","passed","Sat Sep 12 10:00:29 UTC 2026","Resource Ownership and Cross-User Access > Todos Ownership","ownership/resource-ownership.spec.ts","",""
"","205","[OWN-003] [FINDING] User reads another user's todos via GET /users/{otherId}/todos [FINDING: no ownership check]","api-security","Sat Sep 12 10:00:12 UTC 2026","passed","Sat Sep 12 10:00:12 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","204","[FINDING] GET /carts/{id} has no ownership enforcement","api-security","Sat Sep 12 10:00:30 UTC 2026","passed","Sat Sep 12 10:00:30 UTC 2026","Resource Ownership and Cross-User Access > Cart Direct Access","ownership/resource-ownership.spec.ts","",""
"","202","POST /auth/login with missing password field returns 400","api-security","Sat Sep 12 10:00:22 UTC 2026","passed","Sat Sep 12 10:00:22 UTC 2026","Negative, Boundary and Error Scenarios > Malformed Request Bodies","negative/boundary-errors.spec.ts","",""
"","205","[FINDING] GET /users/{id} exposes IBAN","api-security","Sat Sep 12 10:00:36 UTC 2026","passed","Sat Sep 12 10:00:37 UTC 2026","Data Exposure — Sensitive Field Analysis","schema/data-exposure.spec.ts","",""
"","828","valid admin credentials return 200 with access and refresh tokens","api-security","Sat Sep 12 09:59:53 UTC 2026","passed","Sat Sep 12 09:59:54 UTC 2026","Authentication and Identity > Login","auth/authentication.spec.ts","",""
"","42","[RBAC-002] [HYPOTHESIS] Regular user can read all users via GET /users [HYPOTHESIS: should be restricted or return filtered data in production]","api-security","Sat Sep 12 10:00:07 UTC 2026","passed","Sat Sep 12 10:00:07 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","414","[AUTH-007] [CONTRACT] POST /auth/refresh with valid refresh token returns new tokens","api-security","Sat Sep 12 10:00:03 UTC 2026","passed","Sat Sep 12 10:00:03 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","227","[AUTH-002] [CONTRACT] Invalid password returns 400 and does not reveal whether username exists","api-security","Sat Sep 12 10:00:02 UTC 2026","passed","Sat Sep 12 10:00:02 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","252","SQL injection in login username does not cause 500 or stack trace","api-security","Sat Sep 12 10:00:21 UTC 2026","passed","Sat Sep 12 10:00:21 UTC 2026","Negative, Boundary and Error Scenarios > Injection and Malformed Payloads","negative/boundary-errors.spec.ts","",""
"","204","malformed token returns 401","api-security","Sat Sep 12 09:59:56 UTC 2026","passed","Sat Sep 12 09:59:56 UTC 2026","Authentication and Identity > GET /auth/me — Current User","auth/authentication.spec.ts","",""
"","1506","[RBAC-004] [FINDING] Regular user attempts to delete another user via DELETE /users/{id} — must return 403 [DummyJSON returns 200: FINDING]","api-security","Sat Sep 12 10:00:08 UTC 2026","failed","Sat Sep 12 10:00:09 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","1591","[RBAC-005] [FINDING] Unauthenticated DELETE /users/{id} [FINDING: no auth enforced on destructive operations]","api-security","Sat Sep 12 10:00:10 UTC 2026","passed","Sat Sep 12 10:00:11 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","28","GET /products/{id} response matches Product schema","api-security","Sat Sep 12 10:00:35 UTC 2026","passed","Sat Sep 12 10:00:35 UTC 2026","Schema Validation > Products Endpoints","schema/data-exposure.spec.ts","",""
"","1505","[SCH-001] [CONTRACT] GET /users/{id} response matches expected user schema","api-security","Sat Sep 12 10:00:16 UTC 2026","passed","Sat Sep 12 10:00:18 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","193","[SCH-004] [CONTRACT] GET /carts/{id} response matches Cart schema","api-security","Sat Sep 12 10:00:18 UTC 2026","passed","Sat Sep 12 10:00:18 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","205","[FINDING] unauthenticated DELETE /users/{id} — sandbox allows, production must reject","api-security","Sat Sep 12 10:00:31 UTC 2026","passed","Sat Sep 12 10:00:31 UTC 2026","Role-Based Authorization > Write Operations — Authorization Enforcement","rbac/role-authorization.spec.ts","",""
"","38","[SCH-003] [CONTRACT] GET /products response matches ProductsList schema","api-security","Sat Sep 12 10:00:18 UTC 2026","passed","Sat Sep 12 10:00:18 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","641","GET /auth/users with valid token returns 200","api-security","Sat Sep 12 10:00:34 UTC 2026","passed","Sat Sep 12 10:00:34 UTC 2026","Role-Based Authorization > Authenticated User Routes (/auth/ prefix)","rbac/role-authorization.spec.ts","",""
"","32","GET /users response matches UsersListResponse schema","api-security","Sat Sep 12 10:00:35 UTC 2026","passed","Sat Sep 12 10:00:35 UTC 2026","Schema Validation > Users Endpoints","schema/data-exposure.spec.ts","",""
"","273","empty refresh token returns 401 or 400","api-security","Sat Sep 12 10:00:00 UTC 2026","passed","Sat Sep 12 10:00:00 UTC 2026","Authentication and Identity > Token Refresh","auth/authentication.spec.ts","",""
"","235","null byte in username does not cause server error","api-security","Sat Sep 12 10:00:22 UTC 2026","passed","Sat Sep 12 10:00:22 UTC 2026","Negative, Boundary and Error Scenarios > Injection and Malformed Payloads","negative/boundary-errors.spec.ts","",""
"","290","[FINDING] unauthenticated POST /products/add succeeds","api-security","Sat Sep 12 10:00:32 UTC 2026","passed","Sat Sep 12 10:00:33 UTC 2026","Role-Based Authorization > Write Operations — Authorization Enforcement","rbac/role-authorization.spec.ts","",""
"","28","GET /products response matches ProductsList schema","api-security","Sat Sep 12 10:00:35 UTC 2026","passed","Sat Sep 12 10:00:35 UTC 2026","Schema Validation > Products Endpoints","schema/data-exposure.spec.ts","",""
"","209","[FINDING] user can update another user's record via PUT /users/{otherId}","api-security","Sat Sep 12 10:00:29 UTC 2026","passed","Sat Sep 12 10:00:29 UTC 2026","Resource Ownership and Cross-User Access > User Record Mutation Ownership","ownership/resource-ownership.spec.ts","",""
"","243","POST /auth/login response matches LoginResponse schema","api-security","Sat Sep 12 10:00:35 UTC 2026","passed","Sat Sep 12 10:00:35 UTC 2026","Schema Validation > Auth Endpoints","schema/data-exposure.spec.ts","",""
"","34","[RBAC-003] [FINDING] Unauthenticated request to GET /users returns data [FINDING: no auth enforced]","api-security","Sat Sep 12 10:00:07 UTC 2026","passed","Sat Sep 12 10:00:07 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","204","GET /auth/users requires valid token","api-security","Sat Sep 12 10:00:34 UTC 2026","passed","Sat Sep 12 10:00:34 UTC 2026","Role-Based Authorization > Authenticated User Routes (/auth/ prefix)","rbac/role-authorization.spec.ts","",""
"","638","user can read their own cart via GET /carts/user/{ownId}","api-security","Sat Sep 12 10:00:27 UTC 2026","passed","Sat Sep 12 10:00:27 UTC 2026","Resource Ownership and Cross-User Access > Cart Ownership","ownership/resource-ownership.spec.ts","",""
"","256","oversized username (1000 chars) does not cause server error","api-security","Sat Sep 12 10:00:21 UTC 2026","passed","Sat Sep 12 10:00:22 UTC 2026","Negative, Boundary and Error Scenarios > Injection and Malformed Payloads","negative/boundary-errors.spec.ts","",""
"","207","POST /auth/login with non-JSON body returns error","api-security","Sat Sep 12 10:00:22 UTC 2026","passed","Sat Sep 12 10:00:22 UTC 2026","Negative, Boundary and Error Scenarios > Malformed Request Bodies","negative/boundary-errors.spec.ts","",""
"","230","[SCH-002] [CONTRACT] POST /auth/login response matches LoginResponse schema","api-security","Sat Sep 12 10:00:18 UTC 2026","passed","Sat Sep 12 10:00:18 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","206","GET /carts response matches CartsList schema","api-security","Sat Sep 12 10:00:35 UTC 2026","passed","Sat Sep 12 10:00:36 UTC 2026","Schema Validation > Carts Endpoints","schema/data-exposure.spec.ts","",""
"","292","invalid password returns 400 with error message and no token","api-security","Sat Sep 12 09:59:54 UTC 2026","passed","Sat Sep 12 09:59:54 UTC 2026","Authentication and Identity > Login","auth/authentication.spec.ts","",""
"","202","[FINDING] GET /users/{id} exposes crypto wallet address","api-security","Sat Sep 12 10:00:37 UTC 2026","passed","Sat Sep 12 10:00:37 UTC 2026","Data Exposure — Sensitive Field Analysis","schema/data-exposure.spec.ts","",""
"","203","POST /auth/login with missing username field returns 400","api-security","Sat Sep 12 10:00:22 UTC 2026","passed","Sat Sep 12 10:00:22 UTC 2026","Negative, Boundary and Error Scenarios > Malformed Request Bodies","negative/boundary-errors.spec.ts","",""
"","641","[FINDING] user can read another user's cart via GET /carts/user/{otherId}","api-security","Sat Sep 12 10:00:27 UTC 2026","passed","Sat Sep 12 10:00:28 UTC 2026","Resource Ownership and Cross-User Access > Cart Ownership","ownership/resource-ownership.spec.ts","",""
"","335","all 4xx error responses include a message field","api-security","Sat Sep 12 10:00:24 UTC 2026","passed","Sat Sep 12 10:00:24 UTC 2026","Negative, Boundary and Error Scenarios > Error Response Consistency","negative/boundary-errors.spec.ts","",""
"","202","GET /carts/{id} response matches Cart schema","api-security","Sat Sep 12 10:00:35 UTC 2026","passed","Sat Sep 12 10:00:35 UTC 2026","Schema Validation > Carts Endpoints","schema/data-exposure.spec.ts","",""
"","775","[FINDING] forged JWT with invalid signature should return 401 — DummyJSON returns 500","api-security","Sat Sep 12 09:59:57 UTC 2026","failed","Sat Sep 12 09:59:57 UTC 2026","Authentication and Identity > GET /auth/me — Current User","auth/authentication.spec.ts","",""
"","2505","error responses do not include Content-Type: text/html (no HTML error pages)","api-security","Sat Sep 12 10:00:24 UTC 2026","passed","Sat Sep 12 10:00:27 UTC 2026","Negative, Boundary and Error Scenarios > Error Response Consistency","negative/boundary-errors.spec.ts","",""
"","1318","[RBAC-001] [CONTRACT] Admin can read all users via GET /users","api-security","Sat Sep 12 10:00:06 UTC 2026","passed","Sat Sep 12 10:00:07 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","209","[OWN-002] [FINDING] User reads another user's cart via GET /carts/user/{otherId} [FINDING: no ownership check]","api-security","Sat Sep 12 10:00:12 UTC 2026","passed","Sat Sep 12 10:00:12 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
"","200","missing token returns 401","api-security","Sat Sep 12 09:59:56 UTC 2026","passed","Sat Sep 12 09:59:56 UTC 2026","Authentication and Identity > GET /auth/me — Current User","auth/authentication.spec.ts","",""
"","28","user role field is always a known enum value","api-security","Sat Sep 12 10:00:35 UTC 2026","passed","Sat Sep 12 10:00:35 UTC 2026","Schema Validation > Users Endpoints","schema/data-exposure.spec.ts","",""
"","736","valid refresh token returns new access and refresh tokens","api-security","Sat Sep 12 09:59:58 UTC 2026","passed","Sat Sep 12 09:59:59 UTC 2026","Authentication and Identity > Token Refresh","auth/authentication.spec.ts","",""
"","195","[AUTH-003] [CONTRACT] Empty credentials return 400","api-security","Sat Sep 12 10:00:02 UTC 2026","passed","Sat Sep 12 10:00:02 UTC 2026","Data-Driven Security Matrix","matrix/security-matrix.spec.ts","",""
